time_fs,se_c60_population,active_surface_c60_diagonal,norm,interval_hops_before_frame,interval_max_raw_probability_sum,interval_renormalized_probability_vectors,se_state_0,se_state_1,se_state_2,se_state_3,se_state_4,se_state_5,se_state_6,se_state_7,se_state_8,se_state_9,sh_state_0,sh_state_1,sh_state_2,sh_state_3,sh_state_4,sh_state_5,sh_state_6,sh_state_7,sh_state_8,sh_state_9
0.0,0.0019485967679645814,0.08042167666232083,0.9999999999999998,0,0.0,0,0.00012231881723633135,0.006428035380546831,0.035445231094918685,0.9514300598414324,0.004632834948058728,5.935567270464904e-05,0.0013535079873192681,8.950438352292477e-05,2.1757605088513214e-06,0.00043697611375112077,0.00015,0.0065,0.03495,0.95125,0.00555,5e-05,0.00125,0.00015,0.0,0.00015
0.5,0.0023599954314031174,0.08462363703408032,0.9999999999999665,198,1.0000000000000002,0,0.00011957787416223425,0.006007201146651729,0.036681436269447046,0.94517052554588,0.010485155853850693,1.197233967364721e-05,0.0009910341292494191,0.00010608932465134542,6.843843327291929e-06,0.00042016367307346625,5e-05,0.00615,0.0364,0.9449,0.0112,0.0,0.001,0.00015,0.0,0.00015
1.0,0.0033897334259082694,0.08557481020235856,0.9999999999999716,313,1.0000000000000002,0,0.00011893597504177882,0.005968887046894573,0.03517009926614522,0.9348986219063133,0.022484735597754376,5.079403550964184e-06,0.0008151568524994851,0.00011922310665946631,1.640674191911621e-05,0.0004028541031933341,0.0001,0.0062,0.03495,0.9344,0.023,0.0,0.001,0.0002,0.0,0.00015
1.5,0.00475852200780006,0.08240535804709445,0.9999999999999578,586,1.0000000000000002,0,0.00011649280660894723,0.006176275255278061,0.03180606097469523,0.9148161472157498,0.04553145158495603,0.00021502316448512854,0.0007995643703457572,0.00012267972057078394,3.42224318771905e-05,0.0003820824753909111,0.00015,0.00645,0.03095,0.91405,0.04705,0.0002,0.0008,0.0002,0.0,0.00015
2.0,0.006156799364917926,0.0765189247461006,0.9999999999999956,1173,1.0000000000000002,0,0.00011788174731296302,0.006572689802118627,0.02750923184514261,0.8753780910959805,0.0791307815518356,0.009825278236339448,0.0009351017285857482,0.00011522829637510729,6.531520532057224e-05,0.0003504004909844766,0.00025,0.0071,0.02675,0.87595,0.0799,0.00875,0.0009,0.0002,0.0,0.0002
2.5,0.007424376917731543,0.07547060185122013,0.9999999999999829,2629,1.0000000000000002,0,0.00012366182727075215,0.007052398758504132,0.022675105187407108,0.8052920489896885,0.09755766841161197,0.06561432665243075,0.0011693154334463081,0.0001017478947077418,0.00011348373653753071,0.0003002431083778368,0.00015,0.0079,0.02255,0.8016,0.0999,0.06655,0.00105,0.00015,0.0,0.00015
3.0,0.008630842532168287,0.0719110068844348,1.0000000000000036,3597,1.0000000000000002,0,0.00013770781198424513,0.00760497346642799,0.0178499992395589,0.6985822449251629,0.12072238744551825,0.15314296269065866,0.0014615250363934694,9.153263968700812e-05,0.00016078410217064873,0.0002458826424414069,0.00015,0.0086,0.01715,0.69285,0.1199,0.1597,0.00135,0.00015,5e-05,0.0001
3.5,0.01002683550191135,0.06666248936066782,1.0000000000000202,3813,1.0000000000000002,0,0.0001624633056938017,0.008232232854901645,0.013529754955589366,0.5713101228194233,0.14463544930621233,0.25986071543078515,0.0017822610628438174,9.32648304002979e-05,0.00019668618908223235,0.000197049245088661,0.0002,0.00885,0.0137,0.5651,0.1458,0.26445,0.00165,0.0001,0.0001,5e-05
4.0,0.011922550878653959,0.060011998527528226,1.000000000000027,3652,1.0000000000000002,0,0.0002041698500227667,0.008906203727366542,0.009871624971294702,0.45567624005194335,0.1514833033666437,0.37125577332541726,0.0021137001830915537,0.00011009704827596404,0.00022595008795627515,0.0001529373880151036,0.0004,0.0095,0.01015,0.44955,0.1495,0.3784,0.00225,0.0001,0.0001,5e-05
4.5,0.014540986529448437,0.052802133295173755,1.0000000000000162,2864,1.0000000000000002,0,0.00026889429118733677,0.00966339015332159,0.0069214367717840355,0.3705844774889818,0.1412700437492402,0.46835498687564553,0.0024303102424463483,0.00013648143094205083,0.0002534104663344392,0.00011656853013255468,0.00045,0.01035,0.0067,0.36275,0.144,0.47255,0.0029,0.0002,0.0001,0.0
5.0,0.017912302530248232,0.04571799087499899,1.0000000000000342,2038,1.0000000000000002,0,0.0003781481110425541,0.0104275059343843,0.004727725281752003,0.31407395485464445,0.12439719262476502,0.542721753595347,0.002735283882812694,0.00016537602366903945,0.00027487279735273034,9.818689426452055e-05,0.00065,0.011,0.00465,0.30775,0.126,0.54635,0.00325,0.0002,0.00015,0.0
5.5,0.021873895085406683,0.040327883150567456,1.000000000000016,1407,1.0000000000000002,0,0.0005607351103843288,0.011203914476056039,0.0032122959411824497,0.27814413905663277,0.10832787442782717,0.5949837332231115,0.0029935408780628185,0.00018899594062229448,0.00028676077823136927,9.801016790506284e-05,0.00085,0.0115,0.0034,0.27275,0.10995,0.59715,0.00395,0.00025,0.00015,5e-05
6.0,0.02613229012707073,0.036599567221945746,1.0000000000000149,957,1.0000000000000002,0,0.0008803013610315702,0.011937914898017118,0.002259457155872293,0.2556588427366163,0.09581949163183663,0.6296721652319801,0.0031745553288251823,0.00020906747955624536,0.00027911506035505285,0.00010908911592406024,0.00125,0.01235,0.0023,0.2521,0.0966,0.63085,0.00415,0.00025,0.0001,5e-05
6.5,0.030362368617406956,0.03433936250771242,1.0000000000000175,701,1.0000000000000002,0,0.001478785805624178,0.012486372538044268,0.001720973842204473,0.2415631461170051,0.08739260513724938,0.6515069096334215,0.0032556011275368603,0.0002343080659322054,0.00024115423800441526,0.00012014349499537404,0.00185,0.013,0.00165,0.2384,0.086,0.65465,0.004,0.00025,0.0001,0.0001
7.0,0.034284522254161474,0.033415100623027716,1.0000000000000457,513,1.0000000000000002,0,0.002678619666953127,0.012510900776098026,0.0014458032953907386,0.23227478079784175,0.0829823121340291,0.6643079402178191,0.0032361317318492008,0.0002660499035041286,0.00017467343658450629,0.00012278803997588808,0.00335,0.0128,0.00115,0.22825,0.0821,0.66805,0.00385,0.00025,0.0001,0.0001
7.5,0.037694582330459324,0.03373515736503957,1.000000000000032,413,1.0000000000000002,0,0.005106710863293602,0.01135188464239773,0.001309039111060786,0.22501331947542647,0.08261076364351519,0.6709466458620118,0.0031546022983022196,0.0002861814979877949,0.00010446824435243743,0.00011638436168372913,0.00575,0.0117,0.0014,0.2208,0.0818,0.67435,0.0038,0.0002,0.0001,0.0001
8.0,0.04045028158331901,0.03408585890469794,1.0000000000000338,381,1.0000000000000002,0,0.009216568524459684,0.008483087243888519,0.0012332524572080858,0.21733829706437413,0.08672795493571014,0.673493939217605,0.0030647026408458845,0.00027820719004464944,5.799103844768733e-05,0.00010599968745005314,0.00965,0.00905,0.00115,0.2136,0.0868,0.6759,0.0035,0.0002,5e-05,0.0001
